File Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Random guess;Random distance;Random hit;Predictor guess;Predictor distance;Predictor hit;Profile guess;Profile distance;Profile hit;Benchmark link
extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_decode10.c;0;4;5;1;11;"6;9;0;17";"9;17;0;6";4;0,3333;"6;9;0;17";0;1,0000;"6;9;0;17";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbardecoderdatabar.c_decode10.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_mix.c;0;5;6;1;5;"1;2;72;0;74";"72;2;74;0;1";6;0,4000;"1;2;72;0;74";0;1,0000;"1;2;72;0;74";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_mix.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_mix.c;1;5;6;1;5;"1;2;72;0;74";"72;2;74;0;1";6;0,4000;"1;2;72;0;74";0;1,0000;"1;2;72;0;74";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeisaac.c_isaac_mix.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdectxt.c_enc_list_mtf.c;0;11;14;0;4;"3;22;23;4;0;25;25.le;10;13;20;9";"9;25.le;25;20;3;13;23;0;22;4;10";36;0,3455;"3;10;4;13;22;23;0;25;25.le;20;9";13;0,7636;"3;22;23;4;0;25;25.le;10;13;20;9";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdectxt.c_enc_list_mtf.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdectxt.c_enc_list_mtf.c;1;11;14;0;4;"3;22;23;4;0;25;25.le;10;13;20;9";"9;25.le;25;20;3;13;23;0;22;4;10";36;0,3455;"3;10;4;13;22;23;0;25;25.le;20;9";13;0,7636;"3;22;23;4;0;25;25.le;10;13;20;9";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeqrdectxt.c_enc_list_mtf.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c;0;7;9;1;17;"5;15;7;7_15.ce;12;0;17";"7_15.ce;7;12;17;5;15;0";10;0,5238;"5;15;7;12;7_15.ce;0;17";1;0,9524;"5;15;7;7_15.ce;12;0;17";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c;1;7;9;1;17;"5;15;7;7_15.ce;12;0;17";"7_15.ce;7;12;17;5;15;0";10;0,5238;"5;15;7;12;7_15.ce;0;17";1;0,9524;"5;15;7;7_15.ce;12;0;17";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c;2;7;9;1;17;"5;15;7;7_15.ce;12;0;17";"7_15.ce;7;12;17;5;15;0";10;0,5238;"5;15;7;12;7_15.ce;0;17";1;0,9524;"5;15;7;7_15.ce;12;0;17";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c
extr_Craftsrccube.c_make_cube_faces.c;0;20;26;0;42;"78;145;158;174;80;88;94;143;144;156;157;37;176;177;39;45;0;179;44;82";"39;94;0;157;45;177;82;144;44;88;174;145;156;176;78;80;143;179;158;37";119;0,3737;"78;145;158;174;80;94;143;156;82;144;157;88;37;177;39;176;45;44;0;179";21;0,8895;"78;145;158;174;80;82;94;143;144;156;157;37;176;177;39;45;0;179;44;88";27;0,8579;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrccube.c_make_cube_faces.c
extr_Craftsrccube.c_make_cube_wireframe.c;0;5;6;1;25;"6;29;7;0;31";"29;7;31;0;6";5;0,5000;"6;29;7;0;31";0;1,0000;"6;29;7;0;31";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrccube.c_make_cube_wireframe.c
extr_Craftsrccube.c_make_cube_wireframe.c;1;5;6;1;25;"6;29;7;0;31";"29;7;31;0;6";5;0,5000;"6;29;7;0;31";0;1,0000;"6;29;7;0;31";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrccube.c_make_cube_wireframe.c
extr_Craftsrcmatrix.c_mat_multiply.c;0;17;21;1;80;"15;17;29;10;40;12;31;34;42;48;7;36;37;9;0;39;50";"10;34;36;48;7;15;31;0;39;50;12;42;40;29;37;17;9";67;0,5074;"15;17;29;10;12;31;34;40;7;36;37;42;48;9;0;39;50";9;0,9338;"15;17;29;10;40;12;31;34;42;48;7;36;37;9;0;39;50";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrcmatrix.c_mat_multiply.c
extr_Craftsrcmatrix.c_mat_multiply.c;1;17;21;1;80;"15;17;29;10;40;12;31;34;42;48;7;36;37;9;0;39;50";"10;34;36;48;7;15;31;0;39;50;12;42;40;29;37;17;9";67;0,5074;"15;17;29;10;12;31;34;40;7;36;37;42;48;9;0;39;50";9;0,9338;"15;17;29;10;40;12;31;34;42;48;7;36;37;9;0;39;50";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrcmatrix.c_mat_multiply.c
extr_Craftsrcmatrix.c_mat_vec_multiply.c;0;13;16;1;20;"9;11;21;29;6;23;26;31;37;8;0;28;39";"9;29;31;23;6;21;28;0;39;8;11;37;26";30;0,6154;"9;11;21;29;6;23;26;31;37;8;0;28;39";0;1,0000;"9;11;21;29;6;23;26;31;37;8;0;28;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrcmatrix.c_mat_vec_multiply.c
extr_Craftsrcmatrix.c_mat_vec_multiply.c;1;13;16;1;20;"9;11;21;29;6;23;26;31;37;8;0;28;39";"9;29;31;23;6;21;28;0;39;8;11;37;26";30;0,6154;"9;11;21;29;6;23;26;31;37;8;0;28;39";0;1,0000;"9;11;21;29;6;23;26;31;37;8;0;28;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Craftsrcmatrix.c_mat_vec_multiply.c
extr_FFmpeglibavcodecac3enc.c_mul_poly.c;0;10;13;0;8;"6;12;12_19.ce;19;7;7_12.ce;10;0;20;17";"7;20;0;12;10;12_19.ce;17;6;7_12.ce;19";27;0,4000;"6;12;19;7;10;12_19.ce;17;7_12.ce;0;20";7;0,8444;"6;12;12_19.ce;19;7;7_12.ce;10;0;20;17";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecac3enc.c_mul_poly.c
extr_FFmpeglibavcodecac3enc.c_mul_poly.c;1;10;13;0;9;"6;10;12;12_19.ce;19;7;0;20;17;7_12.ce";"7;20;0;12;10;12_19.ce;17;6;7_12.ce;19";23;0,4889;"6;12;19;7;10;12_19.ce;17;7_12.ce;0;20";9;0,8000;"6;12;12_19.ce;19;7;7_12.ce;10;0;20;17";8;0,8222;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecac3enc.c_mul_poly.c
extr_FFmpeglibavcodecac3enc.c_mul_poly.c;2;10;13;0;5;"6;12;12_19.ce;19;7;10;7_12.ce;0;20;17";"7;20;0;12;10;12_19.ce;17;6;7_12.ce;19";26;0,4222;"6;12;19;7;10;12_19.ce;17;7_12.ce;0;20";6;0,8667;"6;12;12_19.ce;19;7;7_12.ce;10;0;20;17";1;0,9778;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecac3enc.c_mul_poly.c
extr_FFmpeglibavcodecacelp_filters.c_ff_tilt_compensation.c;0;5;6;1;255;"8;10;20;0;22";"20;10;22;0;8";6;0,4000;"8;10;20;0;22";0;1,0000;"8;10;20;0;22";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecacelp_filters.c_ff_tilt_compensation.c
extr_FFmpeglibavcodecacelp_filters.c_ff_tilt_compensation.c;1;5;6;1;10;"8;10;20;0;22";"20;10;22;0;8";6;0,4000;"8;10;20;0;22";0;1,0000;"8;10;20;0;22";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecacelp_filters.c_ff_tilt_compensation.c
extr_FFmpeglibavcodecaic.c_unquant_block.c;0;5;6;1;65;"3;21;4;0;23";"21;4;23;0;3";5;0,5000;"3;21;4;0;23";0;1,0000;"3;21;4;0;23";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecaic.c_unquant_block.c
extr_FFmpeglibavcodecaic.c_unquant_block.c;1;5;6;1;65;"3;21;4;0;23";"21;4;23;0;3";5;0,5000;"3;21;4;0;23";0;1,0000;"3;21;4;0;23";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecaic.c_unquant_block.c
extr_FFmpeglibavcodecalphablockdsp_alpha.c_clear_blocks_axp.c;0;5;6;1;24;"12;2;12_2.ce;0;14";"12_2.ce;12;14;0;2";5;0,5000;"12;2;12_2.ce;0;14";0;1,0000;"12;2;12_2.ce;0;14";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecalphablockdsp_alpha.c_clear_blocks_axp.c
extr_FFmpeglibavcodecalphablockdsp_alpha.c_clear_blocks_axp.c;1;5;6;0;0;"0;12;12_2.ce;14;2";"12_2.ce;12;14;0;2";4;0,6000;"12;2;12_2.ce;0;14";5;0,5000;"12;2;12_2.ce;0;14";5;0,5000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecalphablockdsp_alpha.c_clear_blocks_axp.c
extr_FFmpeglibavcodecbgmc.c_bgmc_lut_fillp.c;0;12;15;0;17;"6;35;36;7;8;0;38;11;18;27;30;33";"7;35;0;18;11;27;30;38;8;33;36;6";32;0,5152;"18;27;8;11;30;33;6;35;36;7;0;38";38;0,4242;"6;35;36;7;8;0;38;11;18;27;30;33";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecbgmc.c_bgmc_lut_fillp.c
extr_FFmpeglibavcodeccavs.c_intra_pred_dc_128.c;0;5;6;1;9;"4;5;9;0;11";"9;5;11;0;4";6;0,4000;"4;5;9;0;11";0;1,0000;"4;5;9;0;11";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccavs.c_intra_pred_dc_128.c
extr_FFmpeglibavcodeccavs.c_intra_pred_dc_128.c;1;5;6;1;9;"4;5;9;0;11";"9;5;11;0;4";6;0,4000;"4;5;9;0;11";0;1,0000;"4;5;9;0;11";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccavs.c_intra_pred_dc_128.c
extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c;0;5;6;1;9;"4;16;5;0;18";"16;5;18;0;4";5;0,5000;"4;16;5;0;18";0;1,0000;"4;16;5;0;18";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c
extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c;1;5;6;1;9;"4;16;5;0;18";"16;5;18;0;4";5;0,5000;"4;16;5;0;18";0;1,0000;"4;16;5;0;18";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccavs.c_intra_pred_horiz.c
extr_FFmpeglibavcodeccfhd.c_difference_coding.c;0;9;11;1;65025;"7;18;9;5;20;23;6;0;25";"7;6;9;20;5;18;25;0;23";12;0,6667;"7;18;9;5;20;23;6;0;25";0;1,0000;"7;18;9;5;20;23;6;0;25";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccfhd.c_difference_coding.c
extr_FFmpeglibavcodeccfhd.c_difference_coding.c;1;9;11;1;100;"7;18;9;5;20;23;6;0;25";"7;6;9;20;5;18;25;0;23";12;0,6667;"7;18;9;5;20;23;6;0;25";0;1,0000;"7;18;9;5;20;23;6;0;25";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodeccfhd.c_difference_coding.c
extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c;0;34;44;0;29;"41;43;60;61;43_60.ce;64;66;77;78;66_77.ce;47;54;59;70;0;32;35;39;40;63;80;82;15;16;19;19_27.ce;23;27;28;30;32_38.ce;35_38.ce;38;47_59.ce";"16;54;66;39;19_27.ce;64;61;35;19;30;41;35_38.ce;59;43;60;66_77.ce;32_38.ce;47;40;15;82;32;38;23;78;70;43_60.ce;47_59.ce;27;63;77;80;28;0";244;0,5651;"16;19;27;28;23;41;64;43;60;61;66;77;78;19_27.ce;47;59;70;47_59.ce;43_60.ce;66_77.ce;54;0;82;15;30;32;40;63;80;38;32_38.ce;35;35_38.ce;39";197;0,6488;"41;43;60;61;43_60.ce;64;66;77;78;66_77.ce;47;54;59;70;0;32;35;39;40;63;80;82;15;16;19;19_27.ce;23;27;28;30;32_38.ce;35_38.ce;38;47_59.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c
extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c;1;34;44;0;29;"41;43;60;61;43_60.ce;64;66;77;78;66_77.ce;47;54;59;70;0;32;35;39;40;63;80;82;15;16;19;19_27.ce;23;27;28;30;32_38.ce;35_38.ce;38;47_59.ce";"16;54;66;39;19_27.ce;64;61;35;19;30;41;35_38.ce;59;43;60;66_77.ce;32_38.ce;47;40;15;82;32;38;23;78;70;43_60.ce;47_59.ce;27;63;77;80;28;0";244;0,5651;"16;19;27;28;23;41;64;43;60;61;66;77;78;19_27.ce;47;59;70;47_59.ce;43_60.ce;66_77.ce;54;0;82;15;30;32;40;63;80;38;32_38.ce;35;35_38.ce;39";197;0,6488;"41;43;60;61;43_60.ce;64;66;77;78;66_77.ce;47;54;59;70;0;32;35;39;40;63;80;82;15;16;19;19_27.ce;23;27;28;30;32_38.ce;35_38.ce;38;47_59.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdcadec.c_ff_dca_set_channel_layout.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;0;8;10;0;256;"4;13;14;5;0;16;17;10";"5;10;0;14;13;16;17;4";17;0,3929;"4;5;13;14;0;17;16;10";3;0,8929;"4;13;14;5;0;16;17;10";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;1;8;10;0;11;"4;13;14;5;0;16;17;10";"5;10;0;14;13;16;17;4";17;0,3929;"4;5;13;14;0;17;16;10";3;0,8929;"4;13;14;5;0;16;17;10";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_add_frame.c;2;8;10;0;1;"0;16;17;4;10;13;14;5";"5;10;0;14;13;16;17;4";18;0,3571;"4;5;13;14;0;17;16;10";18;0,3571;"4;13;14;5;0;16;17;10";15;0,4643;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_add_frame.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;0;13;16;1;65024;"18;20;24;13;5;10;15;26;27;6;0;12;29";"10;24;26;15;5;13;20;0;29;6;12;27;18";34;0,5641;"18;20;24;13;5;10;15;26;27;6;0;12;29";0;1,0000;"18;20;24;13;5;10;15;26;27;6;0;12;29";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;1;13;16;1;99;"18;20;24;13;5;10;15;26;27;6;0;12;29";"10;24;26;15;5;13;20;0;29;6;12;27;18";34;0,5641;"18;20;24;13;5;10;15;26;27;6;0;12;29";0;1,0000;"18;20;24;13;5;10;15;26;27;6;0;12;29";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c;2;13;16;0;1;"0;12;13;29;5;10;15;18;20;24;26;27;6";"10;24;26;15;5;13;20;0;29;6;12;27;18";41;0,4744;"18;20;24;13;5;10;15;26;27;6;0;12;29";41;0,4744;"18;20;24;13;5;10;15;26;27;6;0;12;29";41;0,4744;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c
extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c;0;9;11;1;115;"2;10;3;13;15;22;0;12;24";"10;3;12;15;2;13;24;0;22";12;0,6667;"13;2;10;15;22;3;0;12;24";5;0,8611;"2;10;3;13;15;22;0;12;24";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;0;5;6;1;5;"5;18;6;0;20";"18;6;20;0;5";5;0,5000;"5;18;6;0;20";0;1,0000;"5;18;6;0;20";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;1;5;6;1;5;"5;18;6;0;20";"18;6;20;0;5";5;0,5000;"5;18;6;0;20";0;1,0000;"5;18;6;0;20";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c;2;5;6;1;5;"5;18;6;0;20";"18;6;20;0;5";5;0,5000;"5;18;6;0;20";0;1,0000;"5;18;6;0;20";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c
extr_FFmpeglibavcodecexrdsp.c_predictor_scalar.c;0;5;6;1;10;"2;11;3;0;13";"11;3;13;0;2";5;0,5000;"2;11;3;0;13";0;1,0000;"2;11;3;0;13";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecexrdsp.c_predictor_scalar.c
extr_FFmpeglibavcodecffwavesynth.c_lcg_seek.c;0;10;13;0;8;"19;21;27;21_27.ce;24;0;18;32;9;12";"12;32;0;21;19;21_27.ce;24;9;18;27";27;0,4000;"19;21;27;21_27.ce;24;0;18;32;12;9";1;0,9778;"19;21;27;21_27.ce;24;0;18;32;9;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecffwavesynth.c_lcg_seek.c
extr_FFmpeglibavcodech261.c_h261_loop_filter.c;0;21;26;1;56;"80;28;105;30;51;82;4;57;107;108;22;59;6;25;27;53;54;0;110;24;56";"22;51;53;110;4;25;108;107;56;82;24;105;57;28;54;27;6;59;0;30;80";119;0,4333;"28;80;105;30;51;82;25;4;57;107;108;22;27;53;54;59;6;0;110;24;56";14;0,9333;"80;28;105;30;51;82;4;57;107;108;22;59;6;25;27;53;54;0;110;24;56";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodech261.c_h261_loop_filter.c
extr_FFmpeglibavcodech261.c_h261_loop_filter.c;1;21;26;1;56;"80;28;105;30;51;82;4;57;107;108;22;59;6;25;27;53;54;0;110;24;56";"22;51;53;110;4;25;108;107;56;82;24;105;57;28;54;27;6;59;0;30;80";119;0,4333;"28;80;105;30;51;82;25;4;57;107;108;22;27;53;54;59;6;0;110;24;56";14;0,9333;"80;28;105;30;51;82;4;57;107;108;22;59;6;25;27;53;54;0;110;24;56";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodech261.c_h261_loop_filter.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;0;15;20;0;256;"7;14;34;8;0;36;38;43;15;21;22;22_33.ce;28;33;39";"14;33;34;22;7;21;28;0;38;8;15;43;39;22_33.ce;36";44;0,5810;"7;34;8;14;15;22;33;21;22_33.ce;28;0;36;43;39;38";32;0,6952;"7;14;34;8;0;36;38;43;15;21;22;22_33.ce;28;33;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;1;15;20;0;11;"7;14;34;8;0;36;38;43;15;21;22;22_33.ce;28;33;39";"14;33;34;22;7;21;28;0;38;8;15;43;39;22_33.ce;36";44;0,5810;"7;34;8;14;15;22;33;21;22_33.ce;28;0;36;43;39;38";32;0,6952;"7;14;34;8;0;36;38;43;15;21;22;22_33.ce;28;33;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c;2;15;20;0;1;"0;36;38;43;7;14;15;21;22;22_33.ce;28;33;34;39;8";"14;33;34;22;7;21;28;0;38;8;15;43;39;22_33.ce;36";59;0,4381;"7;34;8;14;15;22;33;21;22_33.ce;28;0;36;43;39;38";61;0,4190;"7;14;34;8;0;36;38;43;15;21;22;22_33.ce;28;33;39";29;0,7238;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecidcinvideo.c_huff_smallest_node.c
extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c;0;9;11;1;14;"18;20;57;9;11;60;70;0;73";"18;11;20;60;9;57;73;0;70";9;0,7500;"18;20;57;9;11;60;70;0;73";0;1,0000;"18;20;57;9;11;60;70;0;73";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibavcodecilbcdec.c_get_lsp_poly.c
